Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
343,Cody Martin,SF,26,CHO,42,7,27.0,3.0,6.4,.468,1.0,2.3,.453,2.0,4.1,.477,.549,1.2,1.7,.714,1.2,3.0,4.2,2.7,1.4,0.5,0.9,1.6,8.2
344,Kelan Martin,SF,26,IND,27,1,16.4,2.6,6.2,.417,0.8,2.7,.297,1.8,3.5,.511,.482,0.3,0.5,.692,0.6,1.4,2.0,0.8,0.5,0.3,0.5,1.3,6.3
345,Kenyon Martin Jr.,SF,21,HOU,44,0,19.1,3.2,6.2,.515,0.6,1.8,.309,2.6,4.4,.601,.560,1.0,1.6,.657,1.0,2.8,3.8,1.4,0.4,0.5,0.7,1.3,8.0
346,Garrison Mathews,SG,25,HOU,30,16,27.6,3.3,7.9,.416,2.5,6.6,.377,0.8,1.3,.615,.574,2.4,2.9,.818,0.5,3.1,3.6,0.9,0.7,0.4,0.6,3.0,11.5
347,Dakota Mathias,SG,26,MEM,6,0,2.7,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,0,.500,0.0,0.0,0,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.2,1.0
348,Wesley Matthews,SG,35,MIL,21,6,20.6,2.3,5.1,.458,1.4,3.6,.395,0.9,1.5,.613,.598,0.2,0.4,.500,0.6,1.5,2.1,0.8,0.5,0.2,0.4,1.8,6.3
349,Tyrese Maxey,PG,21,PHI,39,38,35.3,6.3,13.4,.467,1.4,3.5,.407,4.8,9.9,.487,.519,2.8,3.2,.879,0.4,3.1,3.4,4.5,0.7,0.5,1.2,2.1,16.7
350,Skylar Mays,SG,24,ATL,18,5,10.3,1.7,3.3,.517,0.4,1.4,.320,1.3,1.9,.657,.583,0.4,0.4,1.000,0.3,1.1,1.3,0.8,0.4,0.0,0.3,0.3,4.3
351,Miles McBride,PG,21,NYK,18,2,8.1,0.8,3.0,.278,0.3,1.6,.179,0.6,1.4,.385,.324,0.2,0.2,.750,0.1,0.8,0.9,1.2,0.4,0.1,0.2,0.8,2.1
352,Mac McClung,PG,23,CHI,1,0,3.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
353,CJ McCollum,SG,30,POR,28,28,35.1,8.0,18.4,.433,3.3,8.0,.406,4.7,10.4,.454,.521,1.4,2.0,.702,1.0,3.2,4.2,4.4,1.1,0.7,2.2,2.1,20.6
354,T.J. McConnell,PG,29,IND,24,6,24.2,3.8,7.5,.503,0.3,1.0,.280,3.5,6.5,.538,.522,0.5,0.6,.800,0.8,2.5,3.3,4.8,1.0,0.4,1.2,1.8,8.4
355,Jaden McDaniels,PF,21,MIN,43,18,25.8,3.3,7.8,.420,0.9,3.5,.268,2.3,4.3,.540,.479,0.7,0.9,.784,1.3,3.1,4.4,1.0,0.8,0.7,1.1,3.3,8.2
