Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
412,Josh Okogie,SG,23,MIN,30,6,12.8,0.8,2.4,.347,0.3,1.1,.273,0.5,1.3,.410,.410,0.8,1.2,.622,0.8,1.2,2.0,0.6,0.6,0.3,0.5,1.3,2.7
413,Onyeka Okongwu,C,21,ATL,14,6,24.1,3.7,5.0,.743,0.0,0.0,0,3.7,5.0,.743,.743,1.8,2.6,.694,2.4,3.8,6.2,1.1,0.6,1.8,1.3,3.4,9.2
414,Isaac Okoro,SF,21,CLE,33,27,28.4,3.3,7.3,.454,0.8,2.8,.283,2.5,4.5,.561,.508,1.8,2.4,.734,1.1,2.2,3.4,1.8,0.8,0.3,1.2,2.5,9.2
415,KZ Okpala,PF,22,MIA,21,0,11.6,1.4,3.3,.435,0.4,1.2,.346,1.0,2.0,.488,.500,0.4,0.5,.727,0.5,1.4,2.0,0.7,0.2,0.3,0.2,1.2,3.7
416,Cameron Oliver,SF,25,ATL,2,0,21.5,5.0,7.5,.667,0.5,1.5,.333,4.5,6.0,.750,.700,1.0,1.5,.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5
417,Kelly Olynyk,C,30,DET,12,1,22.6,4.5,10.1,.446,1.3,4.3,.314,3.2,5.8,.543,.512,2.3,3.6,.628,1.4,4.1,5.5,2.8,1.3,0.7,1.5,2.8,12.6
418,Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,1.0,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
419,Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,.222,0.1,0.5,.125,0.1,0.1,1.000,.278,0.0,0.1,.000,0.1,0.4,0.4,0.3,0.0,0.0,0.1,0.4,0.3
420,Cedi Osman,SF,26,CLE,36,0,22.3,3.7,8.6,.424,1.9,5.5,.354,1.7,3.1,.549,.537,1.1,1.8,.651,0.4,2.0,2.4,1.7,0.9,0.2,0.8,1.8,10.4
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
421,Daniel Oturu,C,22,TOR,3,0,9.0,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,1.0,1.7,.600,0.3,1.3,1.7,0.0,0.0,0.7,0.0,0.3,3.0
422,Kelly Oubre Jr.,SF,26,CHO,43,10,27.8,6.0,13.3,.452,2.8,7.7,.360,3.2,5.5,.580,.557,1.5,2.3,.653,1.0,2.9,4.0,1.1,1.1,0.3,1.0,2.4,16.3
423,Jaysean Paige,PG,27,DET,1,0,7.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
424,Trayvon Palmer,SG,27,DET,1,0,17.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
425,Kevin Pangos,PG,29,CLE,20,3,8.1,0.8,2.3,.333,0.3,1.3,.231,0.5,1.0,.474,.400,0.2,0.2,.750,0.1,0.5,0.6,1.5,0.2,0.0,0.4,0.5,2.0
426,Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,.474,0.7,1.3,.500,0.8,1.8,.455,.579,0.8,0.8,1.000,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
427,Eric Paschall,PF,25,UTA,34,1,12.2,1.8,3.6,.492,0.6,1.7,.356,1.1,1.9,.619,.578,1.0,1.4,.739,0.6,1.3,2.0,0.5,0.1,0.1,0.6,1.0,5.1
428,Chris Paul,PG,36,PHO,46,46,32.6,5.5,11.2,.487,1.0,3.0,.329,4.5,8.2,.546,.532,2.4,2.9,.842,0.3,4.1,4.4,10.2,2.0,0.3,2.4,2.1,14.4
429,Cameron Payne,PG,27,PHO,40,0,20.4,4.0,9.8,.404,1.1,3.4,.336,2.8,6.4,.440,.462,1.4,1.7,.864,0.4,2.4,2.8,3.6,0.6,0.3,1.8,1.9,10.5
430,Elfrid Payton,PG,27,PHO,26,0,10.9,1.5,3.7,.406,0.0,0.3,.143,1.5,3.4,.427,.411,0.3,0.6,.500,0.5,1.4,1.9,1.7,0.5,0.1,0.9,0.9,3.3
431,Gary Payton II,PG,29,GSW,44,9,16.8,3.2,5.1,.631,0.7,1.8,.377,2.6,3.4,.764,.696,0.5,1.0,.571,1.1,2.6,3.7,0.8,1.3,0.3,0.5,1.7,7.7
432,Norvel Pelle,C,28,UTA,3,0,6.3,1.0,1.7,.600,0.0,0.0,0,1.0,1.7,.600,.600,0.0,0.0,0,1.0,1.0,2.0,0.0,0.0,0.3,0.7,0.3,2.0
433,Reggie Perry,PF,21,POR,2,0,20.5,2.0,4.5,.444,0.5,1.0,.500,1.5,3.5,.429,.500,1.0,1.0,1.000,1.0,2.5,3.5,1.0,0.5,0.0,0.5,3.0,5.5
434,Jamorko Pickett,PF,24,DET,6,0,7.8,0.2,1.7,.100,0.2,1.2,.143,0.0,0.5,.000,.150,0.0,0.0,0,0.3,1.2,1.5,0.2,0.0,0.2,0.5,0.5,0.5
435,Theo Pinson,SF,26,DAL,12,0,8.0,0.7,2.3,.296,0.4,1.7,.250,0.3,0.6,.429,.389,0.3,0.3,1.000,0.0,1.3,1.3,1.0,0.3,0.2,0.2,0.8,2.1
436,Mason Plumlee,C,31,CHO,38,38,24.6,2.9,4.6,.631,0.0,0.0,.000,2.9,4.6,.634,.631,0.7,2.1,.350,2.3,4.9,7.1,2.7,0.8,0.8,1.2,3.0,6.6
437,Jakob Poeltl,C,26,SAS,39,38,29.1,5.8,9.7,.598,0.0,0.0,0,5.8,9.7,.598,.598,1.2,2.7,.438,4.1,5.0,9.1,2.7,0.7,1.6,1.6,3.0,12.8
438,Aleksej Pokusevski,PF,20,OKC,36,2,15.1,1.9,5.4,.358,0.6,2.4,.230,1.4,2.9,.462,.409,0.2,0.4,.500,0.9,3.1,4.0,1.1,0.5,0.5,1.2,1.2,4.6
439,Yves Pons,SF,22,MEM,6,0,3.5,0.2,0.5,.333,0.2,0.2,1.000,0.0,0.3,.000,.500,0.0,0.3,.000,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.3,0.5
440,Jordan Poole,SG,22,GSW,41,33,29.4,5.7,13.1,.436,2.5,7.3,.339,3.3,5.9,.556,.530,2.8,3.1,.906,0.3,2.7,3.0,3.3,0.8,0.3,2.4,2.8,16.7
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
441,Kevin Porter Jr.,PG,21,HOU,31,31,30.2,4.5,11.9,.379,2.0,5.8,.341,2.5,6.1,.416,.462,2.1,3.4,.635,0.7,3.5,4.2,5.9,1.3,0.3,3.6,2.6,13.1
442,Michael Porter Jr.,SF,23,DEN,9,9,29.4,4.1,11.4,.359,1.1,5.3,.208,3.0,6.1,.491,.408,0.6,1.0,.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
443,Otto Porter Jr.,PF,28,GSW,40,8,21.7,3.2,6.7,.472,1.6,3.9,.403,1.6,2.8,.566,.588,0.5,0.7,.714,1.0,4.4,5.3,1.7,1.1,0.5,0.6,1.3,8.4
444,Bobby Portis,C,26,MIL,40,35,28.7,5.8,12.3,.473,1.9,4.5,.414,3.9,7.7,.508,.550,1.5,2.0,.769,2.9,6.6,9.5,1.3,0.7,0.9,1.6,2.8,15.0
445,Kristaps Porziņģis,PF,26,DAL,31,31,30.3,6.9,15.2,.457,1.5,5.2,.290,5.4,9.9,.545,.507,4.5,5.2,.870,2.0,6.0,8.0,2.2,0.7,1.8,1.5,2.5,19.9
446,Micah Potter,C,23,DET,3,0,10.3,1.7,3.7,.455,0.0,0.7,.000,1.7,3.0,.556,.455,0.7,0.7,1.000,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0
447,Dwight Powell,C,30,DAL,47,39,20.2,2.6,4.2,.629,0.3,0.6,.414,2.4,3.6,.667,.660,1.5,2.1,.727,2.0,2.5,4.5,1.1,0.4,0.3,0.7,2.4,7.1
448,Myles Powell,PG,24,PHI,9,0,5.1,0.6,1.8,.313,0.1,0.6,.200,0.4,1.2,.364,.344,0.2,0.2,1.000,0.1,0.4,0.6,0.3,0.1,0.0,0.3,0.7,1.4
449,Norman Powell,SF,28,POR,34,34,32.9,6.2,13.6,.455,2.2,5.5,.399,4.0,8.1,.493,.536,4.0,4.9,.820,0.4,2.5,2.9,2.1,1.0,0.4,1.5,2.3,18.6
450,Joshua Primo,SG,19,SAS,20,4,13.5,1.5,3.9,.377,0.7,2.1,.341,0.8,1.8,.417,.468,0.5,0.6,.833,0.4,1.2,1.6,1.3,0.4,0.5,0.9,0.9,4.1
451,Taurean Prince,PF,27,MIN,35,8,14.6,1.7,4.1,.413,0.9,2.6,.333,0.8,1.5,.547,.517,0.6,0.7,.769,0.4,1.6,2.0,0.8,0.4,0.2,0.6,1.3,4.8
452,Payton Pritchard,SG,24,BOS,38,2,13.3,1.8,4.8,.366,1.1,3.1,.368,0.6,1.7,.364,.484,0.2,0.2,1.000,0.3,1.4,1.8,1.7,0.2,0.1,0.7,0.9,4.9
453,Trevelin Queen,SG,24,HOU,8,0,8.6,1.6,3.6,.448,1.0,2.8,.364,0.6,0.9,.714,.586,0.4,0.4,1.000,0.6,1.1,1.8,0.4,0.6,0.0,0.9,0.8,4.6
454,Neemias Queta,C,22,SAC,6,0,6.7,0.8,2.5,.333,0.0,0.0,0,0.8,2.5,.333,.333,0.5,0.7,.750,1.0,1.2,2.2,0.5,0.2,0.2,0.3,1.2,2.2
455,Immanuel Quickley,PG,22,NYK,44,2,22.4,3.3,8.8,.378,1.8,5.1,.344,1.6,3.8,.424,.477,1.7,1.8,.913,0.4,2.0,2.4,2.9,0.7,0.1,1.3,2.2,10.1
456,Jahmi'us Ramsey,SG,20,SAC,15,0,5.5,0.9,2.3,.412,0.1,0.7,.182,0.8,1.5,.522,.441,0.3,0.7,.500,0.1,0.3,0.3,0.2,0.1,0.1,0.1,0.3,2.3
457,Julius Randle,PF,27,NYK,46,46,35.5,6.8,16.5,.412,1.7,5.5,.311,5.1,10.9,.463,.464,3.6,4.7,.757,1.7,8.2,9.9,5.1,0.8,0.6,3.5,2.8,18.9
458,Austin Reaves,SG,23,LAL,28,0,20.7,2.0,4.1,.483,0.8,2.3,.338,1.2,1.8,.667,.578,1.1,1.3,.865,0.4,2.0,2.5,1.0,0.3,0.1,0.6,1.5,5.9
459,Cam Reddish,SF,22,TOT,35,7,22.9,4.0,9.9,.403,1.7,4.4,.377,2.3,5.5,.424,.487,2.1,2.3,.900,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.7
459,Cam Reddish,SF,22,ATL,34,7,23.4,4.1,10.1,.402,1.7,4.5,.379,2.4,5.6,.421,.487,2.1,2.4,.900,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.9
459,Cam Reddish,SF,22,NYK,1,0,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
460,Davon Reed,SG,26,DEN,19,2,16.3,1.7,3.7,.471,0.8,1.8,.441,0.9,1.9,.500,.579,0.2,0.3,.800,0.5,2.4,2.8,1.2,0.8,0.2,0.2,1.8,4.5
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
461,Paul Reed,C,22,PHI,21,2,8.8,1.0,2.0,.465,0.0,0.2,.000,1.0,1.9,.513,.465,0.1,0.4,.375,1.0,1.3,2.2,0.5,0.6,0.5,0.3,1.3,2.0
462,Naz Reid,C,22,MIN,43,5,16.4,3.1,6.9,.453,0.8,2.4,.333,2.3,4.5,.518,.512,1.6,2.1,.728,1.5,2.6,4.1,0.8,0.5,1.0,1.0,2.2,8.7
463,Nick Richards,C,24,CHO,34,5,8.7,1.5,2.1,.685,0.0,0.0,0,1.5,2.1,.685,.685,0.7,0.9,.774,0.8,1.3,2.1,0.3,0.3,0.6,0.5,1.3,3.6
464,Josh Richardson,SG,28,BOS,36,0,25.1,3.4,7.9,.438,1.4,3.4,.398,2.1,4.4,.469,.525,1.4,1.7,.850,0.6,2.1,2.7,1.5,0.8,0.5,0.8,1.9,9.7
465,Austin Rivers,SG,29,DEN,32,10,20.7,2.1,5.5,.386,1.1,3.6,.310,1.0,1.9,.533,.489,0.4,0.7,.619,0.3,1.4,1.7,1.1,0.5,0.1,0.8,1.6,5.8
466,Duncan Robinson,SG,27,MIA,44,39,27.8,4.0,10.2,.393,3.1,8.6,.358,1.0,1.7,.575,.543,0.7,0.9,.800,0.4,2.8,3.2,1.5,0.7,0.2,0.8,2.7,11.8
467,Justin Robinson,PG,24,TOT,25,0,12.2,1.1,3.7,.301,0.7,2.4,.295,0.4,1.3,.313,.398,0.2,0.3,.500,0.2,0.7,0.8,1.3,0.4,0.0,0.7,1.1,3.1
467,Justin Robinson,PG,24,MIL,17,0,11.6,1.1,3.4,.316,0.6,2.2,.270,0.5,1.2,.400,.404,0.1,0.1,1.000,0.1,0.6,0.8,1.2,0.5,0.0,0.6,1.0,2.8
467,Justin Robinson,PG,24,SAC,3,0,5.0,0.3,2.7,.125,0.0,1.0,.000,0.3,1.7,.200,.125,0.0,0.0,0,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.7,0.7
467,Justin Robinson,PG,24,DET,5,0,18.2,1.8,5.6,.321,1.6,4.2,.381,0.2,1.4,.143,.464,0.4,1.2,.333,0.4,1.0,1.4,1.8,0.2,0.2,1.0,1.6,5.6
468,Mitchell Robinson,C,23,NYK,43,34,24.9,3.5,4.5,.779,0.0,0.0,0,3.5,4.5,.779,.779,1.3,2.4,.548,3.5,4.8,8.3,0.4,0.5,1.5,0.7,2.6,8.4
469,Jeremiah Robinson-Earl,C,21,OKC,43,35,23.1,2.7,6.6,.403,1.2,3.4,.340,1.5,3.2,.471,.491,0.7,1.0,.707,1.6,4.2,5.8,1.0,0.6,0.3,0.8,1.7,7.1
470,Isaiah Roby,PF,23,OKC,18,5,13.7,2.6,4.7,.560,0.6,1.2,.500,2.0,3.4,.581,.625,0.9,1.2,.762,1.1,2.2,3.3,0.7,0.2,0.3,0.8,1.4,6.7
471,Rajon Rondo,PG,35,TOT,22,0,16.9,1.6,4.5,.364,0.7,2.1,.340,0.9,2.4,.385,.444,0.3,0.4,.750,0.5,2.5,3.0,3.8,0.7,0.2,2.0,1.5,4.3
471,Rajon Rondo,PG,35,LAL,18,0,16.1,1.3,3.9,.324,0.4,1.7,.267,0.8,2.3,.366,.380,0.1,0.1,.500,0.6,2.2,2.7,3.7,0.7,0.3,1.9,1.4,3.1
471,Rajon Rondo,PG,35,CLE,4,0,20.8,3.3,7.0,.464,2.0,4.3,.471,1.3,2.8,.455,.607,1.3,1.5,.833,0.3,3.8,4.0,4.3,1.0,0.0,2.3,2.0,9.8
472,Derrick Rose,PG,33,NYK,26,4,24.5,4.7,10.5,.445,1.4,3.5,.402,3.3,7.0,.467,.513,1.2,1.2,.968,0.8,2.2,3.0,4.0,0.8,0.5,1.5,0.6,12.0
473,Terrence Ross,SG,30,ORL,39,0,25.4,4.0,9.8,.406,1.4,4.5,.310,2.6,5.4,.486,.477,2.3,2.7,.867,0.4,2.4,2.7,2.1,0.5,0.2,1.4,1.3,11.7
474,Terry Rozier,SG,27,CHO,38,38,32.6,6.8,15.7,.432,3.0,8.0,.373,3.8,7.7,.493,.527,2.0,2.4,.806,0.7,3.4,4.1,4.0,1.2,0.4,1.1,1.4,18.5
475,Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,.363,1.7,5.1,.339,2.6,7.0,.380,.434,2.6,3.0,.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1
476,D'Angelo Russell,PG,25,MIN,36,36,32.5,6.6,16.0,.411,3.0,8.6,.354,3.6,7.5,.476,.505,2.8,3.5,.816,0.3,3.3,3.6,7.1,1.0,0.5,2.7,2.2,19.0
477,Domantas Sabonis,C,25,IND,44,43,34.9,7.0,12.2,.577,0.8,2.4,.327,6.3,9.8,.637,.609,4.1,5.5,.744,3.2,8.7,11.9,4.9,1.0,0.4,3.0,3.1,19.0
478,Olivier Sarr,C,22,OKC,2,0,7.0,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,.333,1.0,1.0,1.000,0.0,2.5,2.5,0.0,0.0,1.0,0.0,0.5,2.0
479,Tomáš Satoranský,SG,30,NOP,31,3,14.9,1.0,3.3,.311,0.2,1.0,.167,0.9,2.4,.370,.335,0.6,0.8,.760,0.6,1.5,2.0,2.3,0.5,0.0,0.7,1.0,2.8
480,Jordan Schakel,SG,23,WAS,2,0,7.0,0.0,3.0,.000,0.0,1.5,.000,0.0,1.5,.000,.000,0.0,0.0,0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
481,Admiral Schofield,SF,24,ORL,16,1,13.2,1.5,2.9,.511,0.6,1.6,.346,0.9,1.3,.714,.606,0.1,0.2,.667,0.4,2.3,2.6,0.8,0.1,0.2,0.7,1.6,3.7
482,Dennis Schröder,SG,28,BOS,41,25,31.5,5.7,12.8,.443,1.5,4.1,.359,4.2,8.7,.483,.501,2.8,3.3,.853,0.6,2.8,3.4,4.7,0.9,0.1,2.2,2.4,15.7
483,Tre Scott,SF,25,CLE,2,0,5.5,1.5,3.0,.500,0.0,0.5,.000,1.5,2.5,.600,.500,0.0,0.0,0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0
484,Jay Scrubb,SG,21,LAC,14,0,6.8,1.1,2.9,.375,0.4,1.4,.263,0.7,1.5,.476,.438,0.3,0.5,.571,0.1,0.6,0.8,0.5,0.2,0.2,0.4,0.4,2.8
485,Wayne Selden,SG,27,NYK,3,0,6.3,0.3,1.3,.250,0.3,0.7,.500,0.0,0.7,.000,.375,0.7,1.3,.500,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.7
486,Alperen Şengün,C,19,HOU,39,2,18.0,3.1,6.2,.494,0.3,1.2,.289,2.7,5.1,.540,.521,2.3,3.3,.701,1.7,2.9,4.6,2.6,0.8,0.8,2.0,2.9,8.8
487,Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,.450,1.0,4.1,.244,5.2,9.6,.538,.487,2.6,3.5,.744,1.2,2.1,3.3,2.1,0.9,0.0,2.8,2.3,16.0
488,Landry Shamet,SG,24,PHO,42,7,20.0,2.4,6.5,.371,1.6,4.5,.351,0.8,2.0,.417,.493,1.0,1.2,.843,0.2,1.7,1.9,1.5,0.5,0.1,0.5,1.2,7.4
489,Day'Ron Sharpe,PF,20,BRK,21,7,12.3,2.9,4.9,.592,0.0,0.1,.333,2.9,4.8,.600,.597,0.7,1.1,.652,2.4,2.5,4.9,0.3,0.3,0.6,1.0,2.2,6.6
490,Pascal Siakam,PF,27,TOR,31,31,36.6,8.2,17.0,.480,1.1,3.2,.330,7.1,13.8,.515,.511,3.8,5.3,.720,2.0,6.3,8.3,4.9,1.2,0.7,2.6,3.5,21.2
491,Chris Silva,PF,25,TOT,8,0,8.3,1.0,1.6,.615,0.0,0.0,0,1.0,1.6,.615,.615,1.0,1.3,.800,1.3,2.1,3.4,0.4,0.0,0.0,0.5,1.6,3.0
491,Chris Silva,PF,25,MIN,1,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
491,Chris Silva,PF,25,MIA,7,0,9.0,1.1,1.9,.615,0.0,0.0,0,1.1,1.9,.615,.615,1.1,1.4,.800,1.4,2.3,3.7,0.4,0.0,0.0,0.6,1.9,3.4
492,Marko Simonovic,C,22,CHI,9,0,3.9,0.4,1.7,.267,0.1,0.6,.200,0.3,1.1,.300,.300,0.9,1.2,.727,0.6,0.6,1.1,0.0,0.1,0.1,0.2,0.7,1.9
493,Anfernee Simons,SG,22,POR,40,13,27.5,5.5,12.3,.443,2.7,6.7,.401,2.8,5.6,.493,.552,1.6,1.7,.913,0.5,2.1,2.6,3.4,0.5,0.2,1.6,1.9,15.2
494,Jericho Sims,PF,23,NYK,14,0,6.4,0.4,0.6,.750,0.0,0.0,0,0.4,0.6,.750,.750,0.2,0.3,.750,0.6,1.0,1.6,0.1,0.1,0.4,0.1,0.4,1.1
495,Deividas Sirvydis,SG,21,DET,3,0,9.0,0.3,3.3,.100,0.3,2.3,.143,0.0,1.0,.000,.150,0.0,0.0,0,0.0,2.0,2.0,0.3,1.0,0.3,0.0,1.3,1.0
496,Javonte Smart,PG,22,MIL,13,1,12.3,0.8,3.3,.256,0.3,1.4,.222,0.5,1.9,.280,.302,0.4,0.5,.833,0.3,1.2,1.5,1.1,0.3,0.2,0.7,0.8,2.4
497,Marcus Smart,PG,27,BOS,39,39,34.0,4.0,10.2,.394,1.5,4.8,.305,2.6,5.4,.474,.466,2.1,2.6,.792,0.6,3.4,4.0,5.3,2.0,0.3,2.1,2.5,11.6
498,Dennis Smith Jr.,PG,24,POR,28,4,17.3,2.3,5.5,.416,0.2,1.0,.222,2.1,4.5,.457,.435,1.1,1.7,.681,0.5,1.8,2.2,3.4,1.2,0.4,1.4,1.4,5.9
499,Ish Smith,PG,33,CHO,30,1,14.1,1.9,5.1,.382,0.3,0.7,.400,1.7,4.4,.379,.408,0.4,0.6,.632,0.2,1.3,1.6,2.7,0.6,0.2,1.1,1.0,4.5
500,Jalen Smith,PF,21,PHO,22,4,13.9,2.4,5.1,.460,0.3,1.4,.233,2.0,3.8,.542,.491,1.5,1.9,.829,2.2,3.3,5.5,0.2,0.2,0.6,0.8,1.7,6.6
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
501,Xavier Sneed,SF,24,MEM,2,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
502,Tony Snell,SG,30,POR,32,7,13.2,0.8,2.3,.356,0.6,1.8,.321,0.3,0.5,.471,.479,0.1,0.1,1.000,0.3,1.4,1.7,0.5,0.2,0.1,0.3,1.1,2.3
503,Jaden Springer,SG,19,PHI,2,0,3.0,0.5,0.5,1.000,0.0,0.0,0,0.5,0.5,1.000,1.000,0.0,0.0,0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0,1.0
504,Cassius Stanley,SG,22,DET,8,1,19.0,2.3,5.6,.400,0.5,2.1,.235,1.8,3.5,.500,.444,1.3,1.3,1.000,0.6,1.8,2.4,0.5,0.6,0.3,0.8,2.1,6.3
505,Nik Stauskas,SG,28,MIA,2,0,12.0,1.5,4.0,.375,1.0,2.0,.500,0.5,2.0,.250,.500,1.5,2.0,.750,0.5,1.0,1.5,0.5,0.0,0.0,0.0,0.5,5.5
506,Lance Stephenson,SG-SF,31,TOT,18,0,16.5,2.7,6.1,.445,0.6,2.2,.282,2.1,3.9,.535,.495,0.8,1.1,.737,0.3,2.3,2.6,3.1,0.4,0.1,1.5,1.9,6.8
506,Lance Stephenson,SF,31,ATL,6,0,11.7,0.8,2.2,.385,0.0,0.5,.000,0.8,1.7,.500,.385,0.2,0.3,.500,0.2,2.3,2.5,1.8,0.0,0.0,0.7,1.3,1.8
506,Lance Stephenson,SG,31,IND,12,0,18.9,3.7,8.1,.454,0.9,3.0,.306,2.8,5.1,.541,.510,1.1,1.4,.765,0.3,2.3,2.7,3.8,0.7,0.1,1.9,2.3,9.3
507,Lamar Stevens,PF,24,CLE,32,8,15.2,2.2,4.7,.477,0.4,1.3,.325,1.8,3.4,.532,.520,0.5,0.8,.640,0.8,1.6,2.3,0.7,0.4,0.2,0.6,1.5,5.3
508,Isaiah Stewart,C,20,DET,38,38,25.2,3.4,6.4,.535,0.1,0.6,.143,3.4,5.9,.571,.541,1.0,1.5,.672,2.6,5.3,7.9,1.1,0.3,1.2,1.3,2.9,8.0
509,Max Strus,SF,25,MIA,36,8,23.9,4.0,8.9,.453,2.7,6.5,.409,1.4,2.4,.576,.603,0.9,1.1,.775,0.4,3.0,3.4,1.3,0.3,0.2,0.7,1.6,11.6
510,Jalen Suggs,PG,20,ORL,27,24,27.8,4.4,12.1,.365,1.1,4.3,.248,3.3,7.7,.431,.410,3.0,3.9,.762,0.7,3.1,3.9,4.0,1.2,0.4,3.3,2.9,12.9
511,Craig Sword,SG,28,WAS,3,0,6.3,1.0,1.3,.750,0.0,0.3,.000,1.0,1.0,1.000,.750,0.0,0.0,0,0.0,0.0,0.0,0.3,1.3,0.0,0.3,2.3,2.0
512,Keifer Sykes,PG,28,IND,12,8,22.5,2.9,7.3,.398,1.1,3.4,.317,1.8,3.9,.468,.472,0.7,0.8,.889,0.4,1.8,2.2,2.6,0.5,0.1,1.6,2.1,7.6
513,Jae'Sean Tate,SF,26,HOU,45,44,27.2,5.0,9.8,.503,0.8,2.6,.303,4.2,7.2,.577,.544,1.8,2.6,.701,1.7,4.0,5.7,3.1,0.9,0.6,1.8,3.6,12.5
514,Jayson Tatum,SF,23,BOS,44,44,36.7,8.9,21.1,.422,2.7,8.3,.324,6.2,12.8,.486,.486,5.3,6.3,.845,1.2,7.4,8.6,3.9,0.9,0.8,3.0,2.5,25.8
515,Terry Taylor,SG,22,IND,2,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
516,Garrett Temple,SG,35,NOP,44,13,19.6,2.1,5.4,.394,1.2,3.4,.345,1.0,2.0,.477,.502,0.5,0.7,.750,0.6,2.1,2.7,1.2,0.8,0.4,0.8,1.6,5.9
517,Emanuel Terry,PF,25,PHO,3,0,6.0,0.0,1.7,.000,0.0,0.0,0,0.0,1.7,.000,.000,0.0,0.0,0,2.7,2.3,5.0,0.7,0.3,0.0,1.7,1.3,0.0
518,Tyrell Terry,PG,21,MEM,2,0,1.5,0.5,0.5,1.000,0.0,0.0,0,0.5,0.5,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
519,Jon Teske,C,24,MEM,3,0,2.7,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,.000,.000,0.0,0.7,.000,0.0,0.7,0.7,0.3,0.3,0.0,0.0,0.3,0.0
520,Daniel Theis,C,29,HOU,26,21,22.5,3.2,6.9,.469,0.9,3.0,.291,2.3,3.8,.610,.534,1.0,1.5,.675,1.2,3.8,5.0,0.8,0.4,0.7,1.2,2.4,8.4
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
